Labels,Title,State,Date,URL
work in progress,Jira Collector Needs to Auto Populate Issue IDs,closed,2019-05-14,https://github.com/Hygieia/Hygieia/issues/2892
,Jira- Data is not fetching,closed,2019-05-14,https://github.com/Hygieia/Hygieia/issues/2891
,Jira collector only collects a few stories,closed,2019-05-12,https://github.com/Hygieia/Hygieia/issues/2887
,Connection timed out: connect - while trying to connect Jira using Jira Collector,closed,2019-05-10,https://github.com/Hygieia/Hygieia/issues/2886
,Deploy Widget - Up and Down arrows.,closed,2019-05-10,https://github.com/Hygieia/Hygieia/issues/2885
,Error while fetching data from Rally,closed,2019-05-09,https://github.com/Hygieia/Hygieia/issues/2883
,Can Hygieia also support Nexus Repository?,closed,2019-05-09,https://github.com/Hygieia/Hygieia/issues/2882
,HOW TO CREATE A SELENIUM COLLECTOR,closed,2019-05-07,https://github.com/Hygieia/Hygieia/issues/2878
,"Unable to get services to auth against ""admin"" DB in Mongo; uses Hygieia's DB, instead",open,2019-05-06,https://github.com/Hygieia/Hygieia/issues/2877
,unable to create admin user ,closed,2019-05-06,https://github.com/Hygieia/Hygieia/issues/2876
,Question: What database collection is deploy data stored in?,closed,2019-05-06,https://github.com/Hygieia/Hygieia/issues/2875
,Hygieia cloud dashboard,closed,2019-05-06,https://github.com/Hygieia/Hygieia/issues/2873
,Nexus IQ Collector: NullPointerException Getting Username,open,2019-05-01,https://github.com/Hygieia/Hygieia/issues/2867
,Product Dashboard-can not support Subverion Commit data,closed,2019-04-30,https://github.com/Hygieia/Hygieia/issues/2866
,need information about hygieia -bitbucket plugin,open,2019-04-30,https://github.com/Hygieia/Hygieia/issues/2865
,"JIRA COLLECTER NOT FETCHING the ("".....NEW DATA....."") Jira collector working fine but once i created new project in jira it is not fetching. Rather i have to clear the data in mongodb then it is fetching all the data freshly but it affects othe collectors and api....How to solve this ",closed,2019-04-29,https://github.com/Hygieia/Hygieia/issues/2864
,Bitbucket Collector not fetching any data,closed,2019-04-29,https://github.com/Hygieia/Hygieia/issues/2863
,"How to run Hygieia API, UI and collectors as service",closed,2019-04-29,https://github.com/Hygieia/Hygieia/issues/2862
,Fix UI port in Hygieia,closed,2019-04-29,https://github.com/Hygieia/Hygieia/issues/2861
,Custom collector to fetch data from Pivotal Cloud Foundry,closed,2019-04-29,https://github.com/Hygieia/Hygieia/issues/2860
,jira collector fetching data but showing in UI,closed,2019-04-29,https://github.com/Hygieia/Hygieia/issues/2859
,delete subversion-collector from the repository,closed,2019-04-25,https://github.com/Hygieia/Hygieia/issues/2854
,Remote dashboard creation 401 Unauthorized error,open,2019-04-24,https://github.com/Hygieia/Hygieia/issues/2853
,Jenkins Hygieia publisher is not pushing deployment data to Hygieia,closed,2019-04-24,https://github.com/Hygieia/Hygieia/issues/2850
,How to give JIRA CLOUD credentials ....it is not accepting     xxxxxx@gmail.com:password so how to get basic authentication,closed,2019-04-24,https://github.com/Hygieia/Hygieia/issues/2849
,is there any widget to show selenium or any test results?,open,2019-04-23,https://github.com/Hygieia/Hygieia/issues/2848
,Exception opening socket,open,2019-04-23,https://github.com/Hygieia/Hygieia/issues/2846
how-to's,Hygieia Integration with Artifactory - Product dashboard,open,2019-04-23,https://github.com/Hygieia/Hygieia/issues/2845
,Udeploy collector Error,open,2019-04-22,https://github.com/Hygieia/Hygieia/issues/2841
,API not able to login using LDAP authentication,open,2019-04-19,https://github.com/Hygieia/Hygieia/issues/2839
,Future for api-audit and nfrr collector,closed,2019-04-18,https://github.com/Hygieia/Hygieia/issues/2838
,Hygieia Product Dashboard Issue,open,2019-04-18,https://github.com/Hygieia/Hygieia/issues/2836
,jira not fetching data,closed,2019-04-15,https://github.com/Hygieia/Hygieia/issues/2835
,Collector working fine Metrics showing fine in UI but shows pending data collection but it collects data correctly how to remove the yellow dot ,open,2019-04-12,https://github.com/Hygieia/Hygieia/issues/2834
,Hygieia Jenkins Plugin is not holding the commits in build stage and Environment Stages,open,2019-04-11,https://github.com/Hygieia/Hygieia/issues/2832
,"Hygieia maven package error ""package org.omg.PortableInterceptor does not exist""",closed,2019-04-11,https://github.com/Hygieia/Hygieia/issues/2829
,Jira collector and gitlab collector not working completely,closed,2019-04-11,https://github.com/Hygieia/Hygieia/issues/2827
,bitbucket collector issue version ,closed,2019-04-10,https://github.com/Hygieia/Hygieia/issues/2823
,NullPointer for Jira Collector,closed,2019-04-09,https://github.com/Hygieia/Hygieia/issues/2821
,Github Collector 401 unauthorized error on UI.,open,2019-04-08,https://github.com/Hygieia/Hygieia/issues/2820
,Rally Collector configuration values are not stored in Mongo Database,closed,2019-04-07,https://github.com/Hygieia/Hygieia/issues/2819
,widget name change ,open,2019-04-05,https://github.com/Hygieia/Hygieia/issues/2818
,How to configure artifactory widget?,closed,2019-04-04,https://github.com/Hygieia/Hygieia/issues/2817
enhancement,Hygieia - MongDB connection refused,closed,2019-04-03,https://github.com/Hygieia/Hygieia/issues/2815
,Sonar collector can't fetch private projects,open,2019-04-02,https://github.com/Hygieia/Hygieia/issues/2811
,Jira - Failed to collect jira information: java.lang.NullPointerException: null,closed,2019-04-02,https://github.com/Hygieia/Hygieia/issues/2809
,JIRA collector is not gathering data in feature db collection,closed,2019-04-01,https://github.com/Hygieia/Hygieia/issues/2807
,Issue: Hygieia api-audit and Jenkins (exit code 1),closed,2019-03-30,https://github.com/Hygieia/Hygieia/issues/2806
,Issue when installing hygieia with docker-compose,closed,2019-03-29,https://github.com/Hygieia/Hygieia/issues/2805
,how to test UI locally for docker,open,2019-03-29,https://github.com/Hygieia/Hygieia/issues/2804
,docker containers exited with code 126,closed,2019-03-29,https://github.com/Hygieia/Hygieia/issues/2803
,udeploy collector,closed,2019-03-27,https://github.com/Hygieia/Hygieia/issues/2801
need more info,udeploy not writing to mongodb,closed,2019-03-27,https://github.com/Hygieia/Hygieia/issues/2800
,hygieia core model change is not considered in feature collector build,closed,2019-03-19,https://github.com/Hygieia/Hygieia/issues/2794
,Hygieia: Configuring Code Analysis widget with Jacoco Coverage report,open,2019-03-18,https://github.com/Hygieia/Hygieia/issues/2792
,How to set parameters in properties file ,closed,2019-03-18,https://github.com/Hygieia/Hygieia/issues/2791
,need step by step instruction to build new widget ,open,2019-03-17,https://github.com/Hygieia/Hygieia/issues/2790
,Error for SCM widget not being resolved on UI once it has been resolved in the collector,open,2019-03-14,https://github.com/Hygieia/Hygieia/issues/2789
,do we have any collectors for fisheye and crusible ?,closed,2019-03-14,https://github.com/Hygieia/Hygieia/issues/2788
"enhancement, help wanted",custom Json or Xml data Report Widget ,open,2019-03-13,https://github.com/Hygieia/Hygieia/issues/2787
,github collectors bug,closed,2019-03-08,https://github.com/Hygieia/Hygieia/issues/2783
"enhancement, help wanted",SonarQube Widget Values,closed,2019-03-07,https://github.com/Hygieia/Hygieia/issues/2776
,Unable to fetch features from Rally,open,2019-03-07,https://github.com/Hygieia/Hygieia/issues/2775
,AWS Hygieia collector not collecting data for other regions,open,2019-03-07,https://github.com/Hygieia/Hygieia/issues/2774
,jenkins/sonar collectors are not able store data in db ,closed,2019-03-07,https://github.com/Hygieia/Hygieia/issues/2773
,NexusIQ widget,closed,2019-03-07,https://github.com/Hygieia/Hygieia/issues/2772
,Running UI Tests,open,2019-03-04,https://github.com/Hygieia/Hygieia/issues/2768
,Open Source Contribution process for Hygieia project,closed,2019-03-04,https://github.com/Hygieia/Hygieia/issues/2766
,Hygieia: Jenkins code quality collector not showing jobs,closed,2019-03-04,https://github.com/Hygieia/Hygieia/issues/2765
need more info,Exception thrown in the api service,closed,2019-03-01,https://github.com/Hygieia/Hygieia/issues/2763
"enhancement, help wanted",feature.jiraIssueTypeNames values do not support chinese?,open,2019-03-01,https://github.com/Hygieia/Hygieia/issues/2762
,Getting 401 error when trying to configure gitlab collector,closed,2019-02-28,https://github.com/Hygieia/Hygieia/issues/2758
,UI error,closed,2019-02-27,https://github.com/Hygieia/Hygieia/issues/2756
,error while building through repo ,closed,2019-02-26,https://github.com/Hygieia/Hygieia/issues/2754
,github collectors(401 unauthorized error),closed,2019-02-26,https://github.com/Hygieia/Hygieia/issues/2753
,Unable to display dashboard data,closed,2019-02-25,https://github.com/Hygieia/Hygieia/issues/2751
,hygieia UI gulp serve issue,closed,2019-02-24,https://github.com/Hygieia/Hygieia/issues/2750
,hyqieia UI issue,closed,2019-02-24,https://github.com/Hygieia/Hygieia/issues/2749
,"How to configure ""team"" widget in a Team Dashboard ?",open,2019-02-23,https://github.com/Hygieia/Hygieia/issues/2748
,BB Connector support for BB API 2.0,open,2019-02-22,https://github.com/Hygieia/Hygieia/issues/2746
,Opensource library_policy collection sample json data,closed,2019-02-22,https://github.com/Hygieia/Hygieia/issues/2744
,[ERROR] Failed to execute goal org.apache.maven.plugins:maven-pmd-plugin:3.6:pmd (pmd) on project api: Execution pmd of goal org.apache.maven.plugins:maven-pmd-plugin:3.6:pmd failed: org.apache.maven.reporting.MavenReportException: Could not find resource '${pr oject.parent.basedir}/pmd.xml',closed,2019-02-22,https://github.com/Hygieia/Hygieia/issues/2743
,Jira - Failed to collect jira information,closed,2019-02-20,https://github.com/Hygieia/Hygieia/issues/2741
,collectors build,closed,2019-02-19,https://github.com/Hygieia/Hygieia/issues/2737
,Jenkins Collector configuration issues,closed,2019-02-18,https://github.com/Hygieia/Hygieia/issues/2736
,Hygieia Jenkins collector issue,closed,2019-02-18,https://github.com/Hygieia/Hygieia/issues/2735
"enhancement, help wanted",gitlab scm collector show no pulls and issues data,open,2019-02-14,https://github.com/Hygieia/Hygieia/issues/2730
,> `http://localhost:8080/api/collector/type/SCM` navigate here. What does this return?,closed,2019-02-13,https://github.com/Hygieia/Hygieia/issues/2729
,hygieia jenkins collector ,closed,2019-02-13,https://github.com/Hygieia/Hygieia/issues/2728
,collector build ,closed,2019-02-12,https://github.com/Hygieia/Hygieia/issues/2727
,Issue in publishing the functional test data onto the dashboard via Jenkins- Cucumber Integration.,closed,2019-02-12,https://github.com/Hygieia/Hygieia/issues/2726
,rally collector not fetching any data,closed,2019-02-11,https://github.com/Hygieia/Hygieia/issues/2725
,Bamboo collector not storing data in database even after successful run of collector.,closed,2019-02-11,https://github.com/Hygieia/Hygieia/issues/2724
,standard login and Ldap login in hygieia ,closed,2019-02-11,https://github.com/Hygieia/Hygieia/issues/2723
,Hygieia backend setup failure,closed,2019-02-08,https://github.com/Hygieia/Hygieia/issues/2720
enhancement,Sonar Collector - new metrics,open,2019-02-07,https://github.com/Hygieia/Hygieia/issues/2719
,Issue (failure) with dashboard ui on installation,closed,2019-02-06,https://github.com/Hygieia/Hygieia/issues/2717
,java.lang.IllegalArgumentException: Invalid character ':' for HOST_IPV4,closed,2019-02-06,https://github.com/Hygieia/Hygieia/issues/2716
,jira-widget in dashboard showing no data found,closed,2019-02-05,https://github.com/Hygieia/Hygieia/issues/2714
," No result was available from Jira unexpectedly - defaulting to blank response. The reason for this fault is the following:RestClientException{statusCode=Optional.of(403), errorCollections=[]",closed,2019-02-05,https://github.com/Hygieia/Hygieia/issues/2713
,Is there a way to automate dashboard creation?,closed,2019-02-04,https://github.com/Hygieia/Hygieia/issues/2711
how-to's,How to automatically grab new build Jenkins jobs in Hygieia?,closed,2019-02-04,https://github.com/Hygieia/Hygieia/issues/2710
,"Jira: Collector issue : Error 401 connecting to JIRA server, your credentials are probably wrong. Note: Ensure you are using JIRA user name not your email address.",closed,2019-02-04,https://github.com/Hygieia/Hygieia/issues/2709
,Hygieia dashboard build is failing,closed,2019-02-02,https://github.com/Hygieia/Hygieia/issues/2708
,Sample Data for Hygieia,closed,2019-02-01,https://github.com/Hygieia/Hygieia/issues/2704
,Best practices regading collector for OverOps,open,2019-01-30,https://github.com/Hygieia/Hygieia/issues/2703
,[Caused by: PR 2696]Latest Hygieia build is not including submodules,closed,2019-01-30,https://github.com/Hygieia/Hygieia/issues/2701
enhancement,Track User actions for Team Dashboard,open,2019-01-29,https://github.com/Hygieia/Hygieia/issues/2700
bug,Issue in Hygieia Publisher plugin with Publish custom collector items delete,closed,2019-01-29,https://github.com/Hygieia/Hygieia/issues/2698
bug,Issue publishing Sonar results from Hygieia Publisher Plugin,closed,2019-01-29,https://github.com/Hygieia/Hygieia/issues/2697
help wanted,Query Regarding Team Dashboard Creation ,closed,2019-01-28,https://github.com/Hygieia/Hygieia/issues/2695
,Core - why separate project?,closed,2019-01-26,https://github.com/Hygieia/Hygieia/issues/2692
,Hygieia Jira widget not showing data for teams,closed,2019-01-25,https://github.com/Hygieia/Hygieia/issues/2690
help wanted,Can't access Hygieia API with Rundeck or Postman,closed,2019-01-24,https://github.com/Hygieia/Hygieia/issues/2689
"documentation, enhancement",CA Certificates for Docker containers ,open,2019-01-24,https://github.com/Hygieia/Hygieia/issues/2686
,not able to fetch jobs from jenkins collector (not showing list of jobs in dropdown of build widget),closed,2019-01-24,https://github.com/Hygieia/Hygieia/issues/2685
,ServiceNow CMDB support,closed,2019-01-23,https://github.com/Hygieia/Hygieia/issues/2684
enhancement,Application performance management & Log Search Integration with Hygieia for Continuous feedback,open,2019-01-22,https://github.com/Hygieia/Hygieia/issues/2683
,Parse exception while running sonar collector,closed,2019-01-22,https://github.com/Hygieia/Hygieia/issues/2682
,Inconsistencies in docker property-builder script causing unexpected failure due to misconfiguration,open,2019-01-22,https://github.com/Hygieia/Hygieia/issues/2681
,hygieia jenkins plugin cannot match the latest SonarQube domain,closed,2019-01-21,https://github.com/Hygieia/Hygieia/issues/2680
,Quality widget,closed,2019-01-20,https://github.com/Hygieia/Hygieia/issues/2679
,"xlDeploy Collector not working as Container , Not able to connect with mongodb",closed,2019-01-14,https://github.com/Hygieia/Hygieia/issues/2673
bug,Issue in publishing the build and deploy data to dashboard through hygieia jenkins plugin,closed,2019-01-11,https://github.com/Hygieia/Hygieia/issues/2671
,Issue with Rally collector configuration,closed,2019-01-10,https://github.com/Hygieia/Hygieia/issues/2669
,Commit repo widget graph is in-consistent,closed,2019-01-10,https://github.com/Hygieia/Hygieia/issues/2668
"bug, enhancement",JIRA collector re-write ,closed,2019-01-10,https://github.com/Hygieia/Hygieia/issues/2667
,Urgent:  Appdynamics,closed,2019-01-10,https://github.com/Hygieia/Hygieia/issues/2666
,Bitbucket private repo error 401,closed,2019-01-10,https://github.com/Hygieia/Hygieia/issues/2665
,Jira Collector throwing error,closed,2019-01-09,https://github.com/Hygieia/Hygieia/issues/2664
"enhancement, help wanted",Code Repo widget only not showing pull requests,closed,2019-01-09,https://github.com/Hygieia/Hygieia/issues/2662
,do we have  i18n in UI?,closed,2019-01-08,https://github.com/Hygieia/Hygieia/issues/2661
,Jira - Unable to display Scrum data in dashboard ,closed,2019-01-07,https://github.com/Hygieia/Hygieia/issues/2659
,Coverity data in hygieia,closed,2019-01-07,https://github.com/Hygieia/Hygieia/issues/2658
,Widgets in team dashboard lose data when switching between widget & pipeline views,open,2019-01-07,https://github.com/Hygieia/Hygieia/issues/2656
,Jenkins plugin,closed,2019-01-03,https://github.com/Hygieia/Hygieia/issues/2652
,Jenkins code quality collector,open,2019-01-03,https://github.com/Hygieia/Hygieia/issues/2651
,jenkins-codequality collector not returning any jobs,closed,2018-12-27,https://github.com/Hygieia/Hygieia/issues/2649
,Can make the collectors run as services in windows machine?,closed,2018-12-25,https://github.com/Hygieia/Hygieia/issues/2648
,Github collector is not working properly,closed,2018-12-25,https://github.com/Hygieia/Hygieia/issues/2647
,Sonar collector not working from command prompt,closed,2018-12-25,https://github.com/Hygieia/Hygieia/issues/2646
,"Jira colloector not work, throw error : c.c.dashboard.util.ClientUtil - rapidViewId found is not number",closed,2018-12-25,https://github.com/Hygieia/Hygieia/issues/2645
,Mongo DB exception while configuring appdynamics collector,closed,2018-12-20,https://github.com/Hygieia/Hygieia/issues/2643
,Jira data is not collected,closed,2018-12-19,https://github.com/Hygieia/Hygieia/issues/2642
,cant create any job in hygieia dashboard,closed,2018-12-18,https://github.com/Hygieia/Hygieia/issues/2639
,"getting error ""no such cmd: saslStart"" while launching API",closed,2018-12-18,https://github.com/Hygieia/Hygieia/issues/2638
,Configure pipeline for the first time always fails,closed,2018-12-18,https://github.com/Hygieia/Hygieia/issues/2637
"enhancement, help wanted",Sonar credentials as security token feature,closed,2018-12-13,https://github.com/Hygieia/Hygieia/issues/2634
,Can someone please help in configuring Bamboo pipeline widget in hygieia. ,open,2018-12-13,https://github.com/Hygieia/Hygieia/issues/2633
,Don't see the bamboo collector data in mongodb,closed,2018-12-12,https://github.com/Hygieia/Hygieia/issues/2632
,Unable to see login fields + Create Dashboard option,closed,2018-12-12,https://github.com/Hygieia/Hygieia/issues/2631
,Bamboo Collector - Certificate Error,closed,2018-12-11,https://github.com/Hygieia/Hygieia/issues/2630
,Can we remoteCreate a product dashboard?,closed,2018-12-10,https://github.com/Hygieia/Hygieia/issues/2629
,How to push commit data via DeployPublishStep,closed,2018-12-10,https://github.com/Hygieia/Hygieia/issues/2628
,"getting error ""Could not resolve dependencies""",closed,2018-12-10,https://github.com/Hygieia/Hygieia/issues/2627
,Jenkins collector issue,closed,2018-12-07,https://github.com/Hygieia/Hygieia/issues/2624
,Hygieia - Jenkins Plugin Configuration issues,closed,2018-12-05,https://github.com/Hygieia/Hygieia/issues/2621
,Jenkins DeployPublishStep throwing NPE,closed,2018-12-04,https://github.com/Hygieia/Hygieia/issues/2619
bug,Jenkins publisher issue,closed,2018-12-04,https://github.com/Hygieia/Hygieia/issues/2616
,can't find dependency with latest version(3.0.1),closed,2018-12-03,https://github.com/Hygieia/Hygieia/issues/2613
,"applications startup failed, hyeigia collector (failed to create bean  hudson collector task )",closed,2018-11-30,https://github.com/Hygieia/Hygieia/issues/2611
"enhancement, help wanted",Bamboo Build collector not getting all jobs to configure the widget,open,2018-11-29,https://github.com/Hygieia/Hygieia/issues/2609
,CircleCI collector,closed,2018-11-27,https://github.com/Hygieia/Hygieia/issues/2608
,Issues following creation of Docker Image from API docs,open,2018-11-27,https://github.com/Hygieia/Hygieia/issues/2607
,Errors building docker image w/ latest release ,closed,2018-11-27,https://github.com/Hygieia/Hygieia/issues/2606
,Unable to get started with a basic collector.,closed,2018-11-26,https://github.com/Hygieia/Hygieia/issues/2604
,jenkins collector issue,closed,2018-11-26,https://github.com/Hygieia/Hygieia/issues/2601
,Jira collector ,closed,2018-11-26,https://github.com/Hygieia/Hygieia/issues/2600
,"Unable to login (unable to see ""Create Dashboard"" option)",closed,2018-11-23,https://github.com/Hygieia/Hygieia/issues/2599
,JIRA Dashboard not loading properly,closed,2018-11-22,https://github.com/Hygieia/Hygieia/issues/2597
,Octopus Integration,closed,2018-11-21,https://github.com/Hygieia/Hygieia/issues/2593
,No widget is active after creating dashboard using remoteCreate,closed,2018-11-20,https://github.com/Hygieia/Hygieia/issues/2590
, ..,closed,2018-11-19,https://github.com/Hygieia/Hygieia/issues/2588
,Core Folder Missing,closed,2018-11-19,https://github.com/Hygieia/Hygieia/issues/2587
,APPDYNAMICS Collector not inserting data in mongoDB,closed,2018-11-19,https://github.com/Hygieia/Hygieia/issues/2586
,how to change widget place and width or height,closed,2018-11-19,https://github.com/Hygieia/Hygieia/issues/2585
,Required String parameter 'projectId' is not present - JIRA,closed,2018-11-16,https://github.com/Hygieia/Hygieia/issues/2583
"enhancement, work in progress",Name of the code-quality create api end point is hard-coded to 'Sonar',closed,2018-11-14,https://github.com/Hygieia/Hygieia/issues/2577
,Premature EOF while running Jenkins collector,closed,2018-11-13,https://github.com/Hygieia/Hygieia/issues/2574
,Unable to Login,closed,2018-11-13,https://github.com/Hygieia/Hygieia/issues/2573
,Run hygieia and jekins in difference server,closed,2018-11-12,https://github.com/Hygieia/Hygieia/issues/2572
,error reset window in github collector,closed,2018-11-10,https://github.com/Hygieia/Hygieia/issues/2571
,Misleading Documentation,closed,2018-11-09,https://github.com/Hygieia/Hygieia/issues/2567
,Dockerfiles do not build the code,closed,2018-11-07,https://github.com/Hygieia/Hygieia/issues/2560
,Jira Collector-  Collector is able to query stories from jira but not able to render on UI,closed,2018-11-06,https://github.com/Hygieia/Hygieia/issues/2557
,Add the ability to return the jenkins build Parameters from collector ,closed,2018-11-05,https://github.com/Hygieia/Hygieia/issues/2556
, Client exception loading jobs,closed,2018-11-02,https://github.com/Hygieia/Hygieia/issues/2553
,UDEPLOY_ERROR,closed,2018-10-31,https://github.com/Hygieia/Hygieia/issues/2546
,Upgrade Hygieia to latest Spring Boot version,closed,2018-10-29,https://github.com/Hygieia/Hygieia/issues/2541
,Provide default collector configuration in application.properties file for each Spring Boot module,closed,2018-10-29,https://github.com/Hygieia/Hygieia/issues/2540
,Need help for building custom collector as I need to Integrate this with Azure Devops,closed,2018-10-28,https://github.com/Hygieia/Hygieia/issues/2538
"documentation, enhancement, how-to's",Streamline Hygieia Onboarding,open,2018-10-27,https://github.com/Hygieia/Hygieia/issues/2537
,SVN Collector unable to select Repo type while configuring Repo widget,closed,2018-10-26,https://github.com/Hygieia/Hygieia/issues/2533
,How to create custom collector for PivotalTracker?,closed,2018-10-25,https://github.com/Hygieia/Hygieia/issues/2530
,Unable to retrieve data from Gitlab,closed,2018-10-25,https://github.com/Hygieia/Hygieia/issues/2529
,The project com.capitalone.dashboard:Hygieia:3.0.1 (C:\Users\xxx\Hygieia\pom.xml) has 1 error,closed,2018-10-24,https://github.com/Hygieia/Hygieia/issues/2527
,UI Configuration Help,closed,2018-10-23,https://github.com/Hygieia/Hygieia/issues/2525
